	Time1																
	ARSQ 2.0											PANAS		 Subtraction		Music	Memory
participant_id	(1)Discontinuity of Mind	(2)Theory of Mind	(3)Self	(4)Planning	(5)Sleepiness	(6)Comfort	(7)Somatic Awareness	(8)Health Concern	(9)Visual Thought	(10)Verbal Thought	KSS	PANAS-P	PANAS-N	Correct/Not correct	1.The final number	1. Times of singing music lyrics	1.Times of recall
sub-01	5	8	9	9	1	6	5	10	9	4	5	32	12	n/a	n/a	n/a	n/a
sub-02	8	2	10	12	4	9	3	11	11	2	7	34	18	n/a	n/a	n/a	n/a
sub-03	6	2	8	8	11	6	8	8	3	5	7	29	34	1	4713	3	1.5
sub-04	5	8	9	8	9	7	7	8	8	7	8	30	24	0	4716	5	1
sub-05	7	8	9	10	3	7	3	10	12	5	6	27	33	0	4554	4	1
sub-06	5	11	7	10	3	9	3	8	9	4	6	27	15	0	4522	7	1
sub-07	6	8	9	10	10	4	2	8	7	5	7	23	12	0	4560	2	2
sub-08	4	10	9	8	5	9	9	8	12	6	5	38	23	0	4547	4	2
sub-09	8	8	7	10	6	4	2	4	3	2	6	21	30	1	4377	2	2
sub-10	2	6	11	10	6	8	11	8	7	3	4	32	14	1	4496	2	1
sub-11	0	4	11	12	0	9	0	8	9	4	5	31	16	0	4701	3	1
sub-12	11	6	7	11	7	3	1	5	6	10	6	18	20	0	4652	3	2
sub-13	8	7	9	12	4	9	3	10	10	5	5	24	31	0	4463	2	2
sub-14	9	7	9	12	6	5	4	5	8	1	5	31	23	1	4734	4	1
sub-15	5	7	9	8	3	9	6	7	6	4	5	27	13	1	4636	3	1
sub-16	1	0	8	3	7	9	6	9	0	0	7	37	11	0	4941	2	2
sub-17	6	9	9	9	7	7	9	7	9	6	7	27	18	0	4710	3	2
sub-18	11	5	9	12	10	10	2	8	9	5	8	25	30	0	4665	3.5	1.5
sub-19	6	11	9	11	5	10	6	9	9	10	6	35	16	1	4636	3	4
sub-20	7	2	11	8	4	2	2	7	12	8	5	29	27	1	4594	7	1
sub-21	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-22	9	7	9	9	5	5	9	8	9	4	4	27	31	1	4762	6	1
sub-23	6	6	8	8	3	3	6	4	12	4	1	23	30	0	4672	12	4
sub-24	8	7	12	12	4	8	12	10	12	12	5	38	21	0	4341	1	1
sub-25	7	6	8	8	12	3	9	5	9	5	9	29	20	0	4385	5	4
sub-26	3	6	3	6	2	9	7	8	7	4	4	29	20	0	4763	2	1
sub-27	8	4	9	11	7	8	0	8	10	7	6	37	13	1	4363	3	1
sub-28	n/a	n/a	n/a	n/a	n/a	n/a	n/a 	n/a	n/a	n/a	n/a	n/a	n/a	n/a 	n/a	n/a	n/a
sub-29	7	4	9	9	6	9	4	9	9	3	3	36	15	1	4713	3	4
sub-30	2	1	6	11	4	6	3	7	4	6	7	35	20	1	3464	2	1
sub-31	11	6	11	12	8	2	0	4	8	12	7	42	27	0	4565	3	3
sub-32	11	8	7	8	0	10	0	8	12	4	2	42	13	0	4420	2	1
sub-33	4	4	6	8	0	9	3	8	12	4	5	31	24	0	4736	5	3
sub-34	8	8	9	9	5	6	7	10	9	9	6	18	10	0	4530	7	2
sub-35	6	8	9	9	1	9	9	9	9	6	5	41	17	0	3510	2	1
sub-36	10	9	12	11	7	8	5	4	12	7	6	30	19	0	4632	3	1
sub-37	3	8	10	10	7	10	6	8	12	10	6	34	14	1	4545	6	1
sub-38	5	10	10	8	8	7	8	7	6	7	6	40	26	1	4727	3	1
sub-39	8	10	8	9	6	9	4	8	11	3	3	39	18	1	4713	6	1
sub-40	3	10	10	6	2	9	0	8	10	1	5	37	19	0	4721	2	1
sub-41	6	12	12	12	5	1	3	4	10	11	3	25	30	1	4720	4	1
sub-42	9	5	9	12	5	7	7	11	10	11	7	38	25	0	4346	13	1
sub-43	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	0	4743	n/a	1
sub-44	7	12	12	12	3	10	8	8	12	12	7	29	13	0	4551	8	0
sub-45	3	3	10	12	1	2	3	6	10	9	6	30	20	0	4250	7	1
sub-46	9	7	8	8	7	5	8	6	9	8	6	37	17	n/a	n/a	n/a	n/a
sub-47	7	8	10	8	9	11	5	7	10	4	4	37	21	0	4621	2	2
sub-48	6	6	8	8	1	6	1	10	2	0	3	20	30	0	4186	1	1
sub-49	6	7	9	9	5	6	0	8	10	9	6	23	18	1	4650	8	1
sub-50	5	7	5	7	5	8	3	7	9	7	5	29	14	0	4668	4	1
sub-51	5	5	9	4	10	6	8	5	4	6	7	25	27	0	4602	2	3
sub-52	7	7	10	9	2	9	4	9	9	7	4	25	20	1	4391	6	1
sub-53	8	7	8	11	8	6	9	10	10	9	5	36	31	0	4653	1	1
sub-54	8	6	10	5	3	7	4	9	10	2	2	30	13	0	4623	2	1
sub-55	1	3	11	11	0	9	4	2	11	0	6	43	21	1	4741	2	1
sub-56	8	9	11	12	7	9	1	8	10	4	6	23	18	0	4480	3	2
sub-57	9	9	7	12	7	7	3	6	9	8	6	25	21	1	4286	3	0
sub-58	6	10	9	9	5	9	6	7	10	8	5	32	11	1	4496	1	1
sub-59	8	3	9	6	3	6	3	5	11	1	6	28	20	0	4672	2	1
sub-60	8	6	7	10	3	8	2	8	9	3	6	26	16	0	4640	4	1
